Supplier Name,Pricing Structure,Price $/month,Price (cents/kWh),Introductory Price,Enrollment Fee,Contract Term,Cancellation Fee,Automatic Renewal,Renewable Energy Content %,100% New Regional Resources,Additional Products/Services,Estimated Monthly Cost
"Eligo Energy MA","Fixed"," ","8.670 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$52.02"
"Eligo Energy MA","Fixed"," ","8.870 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product","100%","No","","$53.22"
"Town Square Energy","Fixed"," ","9.170 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$55.02"
"Starion Energy","Fixed"," ","9.190 cents/kWh"," "," ","6 months"," ","Fixed-price product"," ","No","Gift Card,Rewards Programs","$55.14"
"Clearview Energy","Fixed"," ","9.290 cents/kWh"," "," ","12 months","$50.00","Variable-price product","100%","No","Rewards Programs","$55.74"
"Starion Energy","Fixed"," ","9.490 cents/kWh"," "," ","6 months"," ","Fixed-price product","100%","No","Gift Card,Rewards Programs","$56.94"
"Major Energy Electric Services","Fixed"," ","10.000 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","","$60.00"
"Sunwave Gas & Power","Fixed"," ","10.120 cents/kWh"," "," ","9 months","$50.00","Variable-price product"," ","No","","$60.72"
"Clearview Energy","Fixed"," ","10.190 cents/kWh"," "," ","6 months","$50.00","Variable-price product","100%","No","Rewards Programs","$61.14"
"Sunwave Gas & Power","Fixed"," ","10.210 cents/kWh"," "," ","32 months","$200.00","Variable-price product"," ","No","","$61.26"
"Sunwave Gas & Power","Fixed"," ","10.230 cents/kWh"," "," ","6 months","$50.00","No automatic renewal"," ","No","","$61.38"
"Verde Energy USA","Fixed"," ","10.290 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","","$61.74"
"Starion Energy","Fixed"," ","10.290 cents/kWh"," "," ","12 months"," ","Fixed-price product"," ","No","Gift Card,Rewards Programs","$61.74"
"Residents Energy","Fixed"," ","10.480 cents/kWh"," "," ","6 months"," ","No automatic renewal"," ","No","","$62.88"
"Liberty Power Holdings","Fixed"," ","10.491 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","Rewards Programs","$62.95"
"Sunwave Gas & Power","Fixed"," ","10.560 cents/kWh"," "," ","24 months","$200.00","Variable-price product"," ","No","","$63.36"
"Starion Energy","Fixed"," ","10.590 cents/kWh"," "," ","12 months"," ","Fixed-price product","100%","No","Gift Card,Rewards Programs","$63.54"
"Residents Energy","Fixed"," ","10.680 cents/kWh"," "," ","8 months"," ","No automatic renewal"," ","No","","$64.08"
"Major Energy Electric Services","Fixed"," ","10.690 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$64.14"
